ds,y,onpromotion
2013-01-01,0.0,0
2013-01-02,8.911684709319907,0
2013-01-03,8.67833265005144,0
2013-01-04,8.686240196754651,0
2013-01-05,8.751440469157235,0
2013-01-06,7.696252184019052,0
2013-01-07,8.72452015740306,0
2013-01-08,8.630197002528762,0
2013-01-09,8.826085574912362,0
2013-01-10,8.467732952797057,0
2013-01-11,8.611596774931764,0
2013-01-12,8.606811380716312,0
2013-01-13,7.8991082147860245,0
2013-01-14,8.639885934266644,0
2013-01-15,8.557408409885133,0
2013-01-16,8.815013102190067,0
2013-01-17,8.50582360189178,0
2013-01-18,8.68678810714026,0
2013-01-19,8.682054196113468,0
2013-01-20,7.771545248825641,0
2013-01-21,8.5618992211367,0
2013-01-22,8.575459458027291,0
2013-01-23,8.741990734132223,0
2013-01-24,8.48931292364717,0
2013-01-25,8.626711232575307,0
2013-01-26,8.57382434594609,0
2013-01-27,7.7999082243214755,0
2013-01-28,8.512744912476997,0
2013-01-29,8.451589783594715,0
2013-01-30,8.719298911283621,0
2013-01-31,8.458202346758782,0
2013-02-01,8.662812554256618,0
2013-02-02,8.64960978963832,0
2013-02-03,7.727086992464423,0
2013-02-04,8.626054950561366,0
2013-02-05,8.533418053587738,0
2013-02-06,8.717425390916722,0
2013-02-07,8.40138787266288,0
2013-02-08,8.629595018751637,0
2013-02-09,8.397637285153058,0
2013-02-10,7.0901893294484415,0
2013-02-11,7.2047067559549065,0
2013-02-12,7.524569326630318,0
2013-02-13,8.719762537844822,0
2013-02-14,8.517230790509382,0
2013-02-15,8.592075774053209,0
2013-02-16,8.635222418987127,0
2013-02-17,7.466273899535206,0
2013-02-18,8.583875479292981,0
2013-02-19,8.562303832531097,0
2013-02-20,8.703684376548626,0
2013-02-21,8.58049300817622,0
2013-02-22,8.662593123805785,0
2013-02-23,8.599323997739743,0
2013-02-24,7.739233813896602,0
2013-02-25,8.581908256469015,0
2013-02-26,8.457714695796176,0
2013-02-27,8.708795382424373,0
2013-02-28,8.519329310288931,0
2013-03-01,8.689726330914983,0
2013-03-02,8.668792103795345,0
2013-03-03,7.798862347720333,0
2013-03-04,8.715304760396679,0
2013-03-05,8.511101476540095,0
2013-03-06,8.83149840203805,0
2013-03-07,8.55642755832246,0
2013-03-08,8.701458856872373,0
2013-03-09,8.642328863404686,0
2013-03-10,7.86419091220069,0
